atom_id,molecule_id,element,type,charge
d129_13,d129,h,1,0.158
d129_14,d129,h,1,0.158
d129_15,d129,n,38,0.808
d129_16,d129,n,38,0.808
d129_17,d129,o,40,-0.392
d129_18,d129,o,40,-0.392
d129_19,d129,o,40,-0.392
d129_2,d129,c,22,-0.122
d129_20,d129,o,40,-0.392
d129_3,d129,c,22,-0.122
d129_4,d129,c,22,-0.122
d129_5,d129,c,22,0.208
d129_6,d129,c,22,-0.122
d129_7,d129,h,3,0.138
d129_8,d129,h,3,0.138
d129_9,d129,h,3,0.138
d12_1,d12,c,22,-0.111
d12_10,d12,c,27,0.019
d12_11,d12,c,22,-0.111
d12_12,d12,c,22,-0.111
d12_13,d12,h,3,0.15
d12_14,d12,h,3,0.15
d12_15,d12,c,22,-0.111
d12_16,d12,c,22,-0.111
d12_17,d12,c,27,0.019
d12_18,d12,h,3,0.149
d12_19,d12,h,3,0.149
d12_2,d12,c,22,-0.111
d12_20,d12,c,22,-0.111
d12_21,d12,c,22,-0.111
d12_22,d12,c,22,-0.111
d12_23,d12,h,3,0.15
d12_24,d12,h,3,0.149
d12_25,d12,n,38,0.82
d12_26,d12,o,40,-0.38
d12_27,d12,o,40,-0.38
d12_28,d12,n,32,-0.76
d12_29,d12,h,1,0.35
d12_3,d12,c,27,0.019
d12_30,d12,h,1,0.35
d12_4,d12,c,27,-0.081
d12_5,d12,c,27,0.019
d12_6,d12,c,22,-0.111
d12_7,d12,h,3,0.149
d12_8,d12,h,3,0.15
d12_9,d12,c,27,-0.081
d130_1,d130,c,22,-0.133
d130_10,d130,h,3,0.127
d130_11,d130,o,50,-0.234
d130_12,d130,c,10,0.087
d130_13,d130,h,3,0.047
d130_14,d130,h,3,0.047
d130_15,d130,h,3,0.047
d130_16,d130,n,38,0.796
d130_17,d130,o,40,-0.404
d130_18,d130,o,40,-0.404
d130_2,d130,c,22,-0.133
d130_3,d130,c,22,-0.133
d130_4,d130,c,22,-0.133
d130_5,d130,c,22,0.176
d130_6,d130,c,22,-0.134
d130_7,d130,h,3,0.127
d130_8,d130,h,3,0.127
d130_9,d130,h,3,0.127
d131_1,d131,c,22,-0.13
d131_10,d131,h,3,0.129
d131_11,d131,c,16,-0.2
d131_12,d131,c,16,0.099
d131_13,d131,h,3,0.099
d131_14,d131,o,50,-0.23
d131_15,d131,h,3,0.099
d131_16,d131,c,22,0.18
d131_17,d131,c,22,-0.131
d131_18,d131,c,22,-0.131
d131_19,d131,c,22,-0.131
d131_2,d131,c,22,-0.131
d131_20,d131,c,22,-0.13
d131_21,d131,c,22,-0.13
d131_22,d131,h,3,0.129
d131_23,d131,h,3,0.129
d131_24,d131,h,3,0.129
d131_25,d131,h,3,0.129
d131_26,d131,h,3,0.129
d131_27,d131,n,38,0.8
d131_28,d131,o,40,-0.4
d131_29,d131,o,40,-0.4
d131_3,d131,c,22,-0.131
d131_4,d131,c,22,-0.131
d131_5,d131,c,22,0.099
d131_6,d131,c,22,-0.131
d131_7,d131,h,3,0.129
d131_8,d131,h,3,0.129
d131_9,d131,h,3,0.129
d132_1,d132,c,22,-0.122
d132_10,d132,h,3,0.138
d132_11,d132,c,14,0.238
d132_12,d132,o,41,-0.421
d132_13,d132,h,3,0.208
d132_14,d132,n,38,0.809
d132_15,d132,o,40,-0.392
d132_16,d132,o,40,-0.392
d132_2,d132,c,22,-0.122
d132_3,d132,c,22,-0.122
d132_4,d132,c,22,-0.122
d132_5,d132,c,22,0.008
d132_6,d132,c,22,-0.122
d132_7,d132,h,3,0.138
d132_8,d132,h,3,0.138
d132_9,d132,h,3,0.138
d133_1,d133,c,22,-0.08
d133_10,d133,c,22,0.229
d133_11,d133,c,22,0.229
d133_12,d133,o,50,-0.18
d133_13,d133,c,22,-0.08
d133_14,d133,c,22,-0.08
d133_15,d133,c,22,-0.08
d133_16,d133,c,22,-0.08
d133_17,d133,h,3,0.18
d133_18,d133,n,38,0.849
d133_19,d133,c,93,-0.15
d133_2,d133,c,22,-0.08
d133_20,d133,c,93,-0.15
d133_21,d133,c,93,-0.15
d133_22,d133,c,93,-0.15
d133_23,d133,o,40,-0.351
d133_24,d133,o,40,-0.351
d133_3,d133,c,22,0.229
d133_4,d133,c,22,0.229
d133_5,d133,c,22,-0.08
d133_6,d133,c,22,-0.08
d133_7,d133,h,3,0.179
d133_8,d133,h,3,0.179
d133_9,d133,o,50,-0.181
d134_1,d134,c,22,-0.116
d134_10,d134,c,27,-0.086
d134_11,d134,c,27,0.014
d134_12,d134,c,22,-0.116
d134_13,d134,c,22,-0.116
d134_14,d134,c,22,-0.116
d134_15,d134,c,22,-0.116
d134_16,d134,c,22,-0.116
d134_17,d134,h,3,0.145
d134_18,d134,h,3,0.145
d134_19,d134,h,3,0.145
d134_2,d134,c,22,-0.116
d134_20,d134,h,3,0.145
d134_21,d134,h,3,0.145
d134_22,d134,h,3,0.145
d134_23,d134,h,3,0.064
d134_24,d134,h,3,0.064
d134_25,d134,h,3,0.064
d134_26,d134,h,3,0.064
d134_27,d134,n,38,0.815
d134_28,d134,n,38,0.815
